N°,DNI,APELLIDOS,NOMBRES,CARGO,FECHA DE INICIO,REGIMEN LABORAL,ÓRGANO,UNIDAD ORGANICA,ESTADO,SERVIDORES CIVILES QUE TIENEN LICENCIA,CORREO ELECTRONICO INSTITUCIONAL,APELLIDOS Y NOMBRES
527,09165227,BALLESTEROS MENDOZA,GRISELDA MANUELA,Asistente Administrativo,2022-12-04,D.L. 728,Dirección General de Fueron,Oficina de Ellos,ACTIVO,NO,,BALLESTEROS MENDOZA GRISELDA MANUELA
528,84743077,ALBEROLA    CERVANTES,JUDITH    AITOR,Coordinador Adjunto,2017-12-25,D.L. 728,Dirección General de Larga,Oficina de Político,ACTIVO,NO,,ALBEROLA    CERVANTES JUDITH    AITOR
529,79379017,ZABALA VILLAR,MICAELA PACÍFICA,Analista G1,2023-07-21,D.L. 728,Dirección General de Partido,Oficina de Música,ACTIVO,NO,,ZABALA VILLAR MICAELA PACÍFICA
530,68093605,CASTAÑEDA LEIVA,LUZ SORAYA,Analista G1,2017-07-11,D.L. 728,Dirección General de Material,Oficina de Sin,ACTIVO,NO,,CASTAÑEDA LEIVA LUZ SORAYA
531,61974028,NARANJO ROMÁN,LALO AZUCENA,Asistente Administrativo,2016-12-25,CAS,Dirección General de Marcha,Oficina de Premio,ACTIVO,NO,,NARANJO ROMÁN LALO AZUCENA
532,07635654,BENÍTEZ VALDERRAMA,XAVIER ARIADNA,Coordinador Adjunto,2019-12-12,D.L. 728,Dirección General de Fuerzas,Oficina de Aspecto,ACTIVO,NO,,BENÍTEZ VALDERRAMA XAVIER ARIADNA
533,10298661,DIAZ PEDRO,FAUSTO JOSÉ MARI,Analista G1,2024-01-29,D.L. 276,Dirección General de Profesional,Oficina de Energía,ACTIVO,NO,,DIAZ PEDRO FAUSTO JOSÉ MARI
534,79736044,CARLOS GRACIA,MANU ARACELI,Asistente Administrativo,2016-05-15,D.L. 728,Dirección General de Aspecto,Oficina de Electoral,ACTIVO,NO,,CARLOS GRACIA MANU ARACELI
535,77890495,ALBEROLA HIDALGO,ARTURO AGUSTINA,Analista G1,2019-12-26,D.L. 728,Dirección General de Tipos,Oficina de Casi,ACTIVO,NO,,ALBEROLA HIDALGO ARTURO AGUSTINA
536,76726462,ESCAMILLA ARANDA,CAROLINA NIEVES,Especialista Técnico,2025-06-26,D.L. 728,Dirección General de Peso,Oficina de Boca,ACTIVO,NO,,ESCAMILLA ARANDA CAROLINA NIEVES
537,81202509,RIUS GOMEZ,MODESTO JOSE RAMÓN,Asistente Administrativo,2020-07-04,D.L. 276,Dirección General de Finalmente,Oficina de Mil,ACTIVO,NO,,RIUS GOMEZ MODESTO JOSE RAMÓN
538,20248231,LINARES BERMEJO,CONCHA RAMÓN,Analista G1,2017-07-16,D.L. 728,Dirección General de Compañía,Oficina de Llama,ACTIVO,NO,,LINARES BERMEJO CONCHA RAMÓN
539,13891787,BADÍA ESCOBAR,JACINTO NILDA,Coordinador Adjunto,2021-07-03,D.L. 276,Dirección General de Hasta,Oficina de Perdido,ACTIVO,NO,,BADÍA ESCOBAR JACINTO NILDA
540,11318465,QUERO BAYÓN,SATURNINA ADELA,Especialista Técnico,2025-01-02,CAS,Dirección General de Cuadro,Oficina de Señaló,ACTIVO,NO,,QUERO BAYÓN SATURNINA ADELA
541,33251600,MERCADER MORÁN,CHEMA CAROLINA,Asistente Administrativo,2020-11-29,D.L. 728,Dirección General de Calle,Oficina de Aún,ACTIVO,NO,,MERCADER MORÁN CHEMA CAROLINA
542,70339291,MANZANARES MATEU,MANOLA ESTHER,Especialista Técnico,2018-10-09,D.L. 728,Dirección General de Calle,Oficina de Teatro,ACTIVO,NO,,MANZANARES MATEU MANOLA ESTHER
543,50043346,URIARTE    FERRÁN,  LUZ VALENTINA  ,Coordinador Adjunto,2021-10-23,D.L. 728,Dirección General de Cámara,Oficina de Incluso,ACTIVO,NO,,URIARTE    FERRÁN   LUZ VALENTINA  
544,54864100,  CONTRERAS AGUDO  ,  SEBASTIÁN AMADO  ,Coordinador Adjunto,2018-09-04,D.L. 276,Dirección General de Igual,Oficina de Encima,ACTIVO,NO,,  CONTRERAS AGUDO     SEBASTIÁN AMADO  
545,80246883,AGUSTÍ NARANJO,ABEL MARTINA,Analista G1,2022-12-02,D.L. 276,Dirección General de Comercio,Oficina de Estuvo,ACTIVO,NO,,AGUSTÍ NARANJO ABEL MARTINA
546,86879855,MELÉNDEZ CALLEJA,HERNÁN BENITA,Coordinador Adjunto,2026-03-06,CAS,Dirección General de Estudio,Oficina de Estamos,ACTIVO,NO,,MELÉNDEZ CALLEJA HERNÁN BENITA
547,44250345,BARREDA CISNEROS,LEONOR LINO,Analista G1,2017-04-10,D.L. 276,Dirección General de Solamente,Oficina de Mano,ACTIVO,NO,,BARREDA CISNEROS LEONOR LINO
548,91050535,VIZCAÍNO REY,JUANITA TERESITA,Asistente Administrativo,2020-01-26,D.L. 728,Dirección General de Términos,Oficina de Vino,ACTIVO,NO,,VIZCAÍNO REY JUANITA TERESITA
549,33822302,  BLAZQUEZ BUSTOS  ,  ANSELMA ELISEO  ,Especialista Técnico,2022-09-19,D.L. 728,Dirección General de Minutos,Oficina de Otro,ACTIVO,NO,,  BLAZQUEZ BUSTOS     ANSELMA ELISEO  
550,10939012,  BARRIOS ROYO  ,GLORIA ELADIO   ,Especialista Técnico,2018-09-17,D.L. 728,Dirección General de Mujeres,Oficina de Tribunal,ACTIVO,NO,,  BARRIOS ROYO   GLORIA ELADIO   
551,41638599,MIRÓ POZO,JUANITA PAZ,Asistente Administrativo,2023-09-13,CAS,Dirección General de Paso,Oficina de Actividad,ACTIVO,NO,,MIRÓ POZO JUANITA PAZ
552,79865082,LLABRÉS GUILLEN,CARLITO HERMENEGILDO,Analista G1,2017-09-15,D.L. 728,Dirección General de Diciembre,Oficina de Favor,ACTIVO,NO,,LLABRÉS GUILLEN CARLITO HERMENEGILDO
553,75017251,CANALES CORTÉS,CURRO FIDEL,Asistente Administrativo,2020-11-03,D.L. 276,Dirección General de Varios,Oficina de Dado,ACTIVO,NO,,CANALES CORTÉS CURRO FIDEL
554,44087377,CARRILLO PALMA,MARÍA LUISA HIPÓLITO,Especialista Técnico,2020-11-11,D.L. 276,Dirección General de Hacía,Oficina de Mañana,ACTIVO,NO,,CARRILLO PALMA MARÍA LUISA HIPÓLITO
555,94332363,CARRETERO BOTELLA,FAUSTO NOEMÍ,Analista G1,2023-03-17,D.L. 276,Dirección General de Hija,Oficina de Quedó,ACTIVO,NO,,CARRETERO BOTELLA FAUSTO NOEMÍ
556,89987087,ARJONA GARRIDO,PETRONA ROCÍO,Asistente Administrativo,2019-08-16,D.L. 276,Dirección General de Sí,Oficina de Metros,ACTIVO,NO,,ARJONA GARRIDO PETRONA ROCÍO
557,48563746,HURTADO PAGÈS,RUY ARMIDA,Analista G1,2016-10-31,D.L. 728,Dirección General de Partir,Oficina de Público,ACTIVO,NO,,HURTADO PAGÈS RUY ARMIDA
558,41455303,DÁVILA ANGUITA,SANDALIO RITA,Especialista Técnico,2020-11-12,CAS,Dirección General de Materia,Oficina de Manuel,ACTIVO,NO,,DÁVILA ANGUITA SANDALIO RITA
559,45866539,IBORRA BUSQUETS,ÓSCAR CRISTIAN,Asistente Administrativo,2024-05-20,CAS,Dirección General de Mejor,Oficina de Hecho,ACTIVO,NO,,IBORRA BUSQUETS ÓSCAR CRISTIAN
560,30406093,ALBERO BARRIO,PAULINA MERCEDES,Especialista Técnico,2026-03-04,CAS,Dirección General de España,Oficina de Ello,ACTIVO,NO,,ALBERO BARRIO PAULINA MERCEDES
561,10356923,PÉREZ PERALES,ITZIAR EVA MARÍA,Coordinador Adjunto,2025-09-20,CAS,Dirección General de Tan,Oficina de Rey,ACTIVO,NO,,PÉREZ PERALES ITZIAR EVA MARÍA
562,68140960,JOVE BENAVIDES,ALFREDO BERTO,Analista G1,2018-04-28,D.L. 276,Dirección General de Pocos,Oficina de Ninguna,ACTIVO,NO,,JOVE BENAVIDES ALFREDO BERTO
563,45199749,CASTELLS BRIONES,VERÓNICA REBECA,Especialista Técnico,2024-08-21,D.L. 276,Dirección General de Buena,Oficina de Primera,ACTIVO,NO,,CASTELLS BRIONES VERÓNICA REBECA
564,50562486,ARNAU SERRA,AURELIANO FLORENTINO,Especialista Técnico,2025-08-02,CAS,Dirección General de Sector,Oficina de Pese,ACTIVO,NO,,ARNAU SERRA AURELIANO FLORENTINO
565,24272735,PRAT VALDERRAMA,AMOR ROBERTO,Especialista Técnico,2023-03-06,D.L. 276,Dirección General de Misma,Oficina de Dios,ACTIVO,NO,,PRAT VALDERRAMA AMOR ROBERTO
566,58743531,GARMENDIA EXPOSITO,LEONARDO LINO,Analista G1,2020-10-21,D.L. 728,Dirección General de Cómo,Oficina de Cuando,ACTIVO,NO,,GARMENDIA EXPOSITO LEONARDO LINO
567,48895440,HOYOS MARQUEZ,ANDREA SERGIO,Especialista Técnico,2025-03-04,D.L. 728,Dirección General de Investigación,Oficina de Ni,ACTIVO,NO,,HOYOS MARQUEZ ANDREA SERGIO
568,81952731,BONILLA LOSA,RODOLFO EMIGDIO,Coordinador Adjunto,2020-07-15,D.L. 276,Dirección General de Amigos,Oficina de Violencia,ACTIVO,NO,,BONILLA LOSA RODOLFO EMIGDIO
569,60254092,ZARAGOZA IBAÑEZ,EVA MARÍA NIDIA,Especialista Técnico,2021-10-12,D.L. 276,Dirección General de Al,Oficina de Presencia,ACTIVO,NO,,ZARAGOZA IBAÑEZ EVA MARÍA NIDIA
570,32100653,PALOMAR TENA,CANDELAS MERCHE,Coordinador Adjunto,2021-03-11,D.L. 728,Dirección General de Etapa,Oficina de Cine,ACTIVO,NO,,PALOMAR TENA CANDELAS MERCHE
571,26040411,  VALLÉS MONTOYA,  ROMÁN JULIÁN  ,Coordinador Adjunto,2018-02-21,D.L. 276,Dirección General de Señor,Oficina de P,ACTIVO,NO,,  VALLÉS MONTOYA   ROMÁN JULIÁN  
572,76560395,GILABERT ANDREU,TERESITA OBDULIA,Asistente Administrativo,2024-02-18,D.L. 728,Dirección General de Todos,Oficina de Título,ACTIVO,NO,,GILABERT ANDREU TERESITA OBDULIA
573,37818762,SUAREZ ÁVILA,PEPITO MARÍA FERNANDA,Asistente Administrativo,2022-03-09,D.L. 276,Dirección General de Eran,Oficina de Términos,ACTIVO,NO,,SUAREZ ÁVILA PEPITO MARÍA FERNANDA
574,70794455,CUERVO CABRERA,JOSE MIGUEL GALA,Asistente Administrativo,2018-10-03,CAS,Dirección General de Queda,Oficina de Encontrar,ACTIVO,NO,,CUERVO CABRERA JOSE MIGUEL GALA
575,26802976,BARBA GIMENEZ,CORAL RAQUEL,Especialista Técnico,2026-03-04,D.L. 728,Dirección General de Hijo,Oficina de C,ACTIVO,NO,,BARBA GIMENEZ CORAL RAQUEL
576,07003455,DURÁN ECHEVERRÍA,JORDI DORA,Asistente Administrativo,2019-07-11,D.L. 728,Dirección General de Estuvo,Oficina de Ocho,ACTIVO,NO,,DURÁN ECHEVERRÍA JORDI DORA
577,74429199,PALMER ANAYA,JULIANA JUANITA,Analista G1,2019-11-11,D.L. 276,Dirección General de Comunicación,Oficina de Común,ACTIVO,NO,,PALMER ANAYA JULIANA JUANITA
578,69244186,CISNEROS FABRA,PIEDAD NÉLIDA,Analista G1,2025-02-28,D.L. 728,Dirección General de Prensa,Oficina de Cuya,ACTIVO,NO,,CISNEROS FABRA PIEDAD NÉLIDA
579,11257529,  MENDIZÁBAL ECHEVARRÍA,  AMOR ANSELMO,Especialista Técnico,2017-03-31,D.L. 728,Dirección General de Eran,Oficina de Francisco,ACTIVO,NO,,  MENDIZÁBAL ECHEVARRÍA   AMOR ANSELMO
580,60306605,GILABERT ALLER,BELEN ALE,Especialista Técnico,2016-05-08,D.L. 728,Dirección General de Concepto,Oficina de Pueda,ACTIVO,NO,,GILABERT ALLER BELEN ALE
581,12309587,FORTUNY CASTRILLO,NOÉ LILIANA,Especialista Técnico,2018-02-13,D.L. 728,Dirección General de Unidad,Oficina de Señora,ACTIVO,NO,,FORTUNY CASTRILLO NOÉ LILIANA
582,46920515,MORALES BARRANCO,ALFREDO EUSEBIO,Analista G1,2022-03-18,D.L. 728,Dirección General de Concepto,Oficina de Decir,ACTIVO,NO,,MORALES BARRANCO ALFREDO EUSEBIO
583,07148019,CANTERO ZORRILLA,ROSALINDA PÁNFILO,Asistente Administrativo,2025-12-13,D.L. 276,Dirección General de Vista,Oficina de Quedó,ACTIVO,NO,,CANTERO ZORRILLA ROSALINDA PÁNFILO
584,50192262,PRIEGO CABRERO,NICODEMO MARCIANO,Especialista Técnico,2019-07-28,D.L. 728,Dirección General de Estas,Oficina de Dejó,ACTIVO,NO,,PRIEGO CABRERO NICODEMO MARCIANO
585,10952897,  RUEDA TORRENS  ,  FLORENCIA MAXIMILIANO,Coordinador Adjunto,2018-02-01,CAS,Dirección General de Flores,Oficina de Fuentes,ACTIVO,NO,,  RUEDA TORRENS     FLORENCIA MAXIMILIANO
586,03783269,PALACIOS GODOY,GRACIELA DOLORES,Coordinador Adjunto,2024-06-28,CAS,Dirección General de Obras,Oficina de Hemos,ACTIVO,NO,,PALACIOS GODOY GRACIELA DOLORES
587,95925984,MARIÑO CASTEJÓN,GALO LUISINA,Coordinador Adjunto,2016-05-12,CAS,Dirección General de Escuela,Oficina de Aquellas,ACTIVO,NO,,MARIÑO CASTEJÓN GALO LUISINA
588,18468305,POSADA ANTÚNEZ,GERMÁN ELIGIA,Analista G1,2019-07-12,D.L. 728,Dirección General de Título,Oficina de Proyectos,ACTIVO,NO,,POSADA ANTÚNEZ GERMÁN ELIGIA
589,63411828,GINER CALVET,ANABEL EPIFANIO,Especialista Técnico,2019-08-28,D.L. 276,Dirección General de Otros,Oficina de Unas,ACTIVO,NO,,GINER CALVET ANABEL EPIFANIO
590,62962896,  OLIVER MONTENEGRO  ,  FLORENCIO FANNY,Asistente Administrativo,2025-03-14,D.L. 276,Dirección General de Tanto,Oficina de Pese,ACTIVO,NO,,  OLIVER MONTENEGRO     FLORENCIO FANNY
591,00704804,NARVÁEZ    SALOM,AITOR JUAN MANUEL   ,Analista G1,2018-06-10,CAS,Dirección General de Seguro,Oficina de Tiempo,ACTIVO,NO,,NARVÁEZ    SALOM AITOR JUAN MANUEL   
592,34349529,ORDÓÑEZ JEREZ,MIRIAM CÁNDIDO,Especialista Técnico,2023-07-20,CAS,Dirección General de Está,Oficina de Antonio,ACTIVO,NO,,ORDÓÑEZ JEREZ MIRIAM CÁNDIDO
593,73659259,RÍOS RIVAS,FLAVIO SOLEDAD,Asistente Administrativo,2020-06-26,CAS,Dirección General de Fiscal,Oficina de Obras,ACTIVO,NO,,RÍOS RIVAS FLAVIO SOLEDAD
594,38668340,ORTEGA PEREZ,COSME PATRICIA,Especialista Técnico,2021-02-20,D.L. 728,Dirección General de Considera,Oficina de Superior,ACTIVO,NO,,ORTEGA PEREZ COSME PATRICIA
595,16354209,GOMIS CÁNOVAS,VITO CANDELARIO,Analista G1,2024-05-03,CAS,Dirección General de Entre,Oficina de Manos,ACTIVO,NO,,GOMIS CÁNOVAS VITO CANDELARIO
596,56348031,ALMAGRO MONTALBÁN,JUAN CARLOS CRUZ,Asistente Administrativo,2017-02-01,CAS,Dirección General de Pueden,Oficina de Debía,ACTIVO,NO,,ALMAGRO MONTALBÁN JUAN CARLOS CRUZ
597,14879095,PEREZ CUEVAS,LUPITA CARLITO,Asistente Administrativo,2021-10-25,D.L. 276,Dirección General de Toma,Oficina de Sido,ACTIVO,NO,,PEREZ CUEVAS LUPITA CARLITO
598,71947922,NEIRA TOLOSA,JULIE AMÉRICO,Analista G1,2020-08-28,D.L. 276,Dirección General de Grande,Oficina de Veces,ACTIVO,NO,,NEIRA TOLOSA JULIE AMÉRICO
599,69172560,ROVIRA CRESPO,BALDUINO COSME,Especialista Técnico,2019-08-28,D.L. 276,Dirección General de Términos,Oficina de Muchos,ACTIVO,NO,,ROVIRA CRESPO BALDUINO COSME
600,19270558,RECIO LARA,GERTRUDIS LOPE,Coordinador Adjunto,2019-04-27,D.L. 728,Dirección General de Según,Oficina de Mi,ACTIVO,NO,,RECIO LARA GERTRUDIS LOPE
601,00209962,POZO TUDELA,FABIO BALTASAR,Coordinador Adjunto,2019-12-15,CAS,Dirección General de Alto,Oficina de Día,ACTIVO,NO,,POZO TUDELA FABIO BALTASAR
602,76593188,  MARIÑO TENORIO  ,HERACLIO    CLETO,Asistente Administrativo,2016-08-08,CAS,Dirección General de Pueden,Oficina de Tomar,ACTIVO,NO,,  MARIÑO TENORIO   HERACLIO    CLETO
603,89170407,MANZANARES BILBAO,AINARA RAFAELA,Analista G1,2017-07-01,D.L. 276,Dirección General de Película,Oficina de Quién,ACTIVO,NO,,MANZANARES BILBAO AINARA RAFAELA
604,48399418,SOTELO TORRIJOS,TERESA GERTRUDIS,Analista G1,2018-12-30,D.L. 276,Dirección General de Pudo,Oficina de Mar,ACTIVO,NO,,SOTELO TORRIJOS TERESA GERTRUDIS
605,73025445,  PONCE ESTEBAN  ,  RAIMUNDO SONIA,Analista G1,2020-02-28,D.L. 728,Dirección General de Sistema,Oficina de Cara,ACTIVO,NO,,  PONCE ESTEBAN     RAIMUNDO SONIA
606,63100463,ARRIBAS LAGO,VALERIO ADELA,Analista G1,2018-12-24,D.L. 276,Dirección General de Puso,Oficina de Muchas,ACTIVO,NO,,ARRIBAS LAGO VALERIO ADELA
607,51926332,BARRIO CORBACHO,MARINA JOSEFINA,Coordinador Adjunto,2023-01-08,D.L. 728,Dirección General de Durante,Oficina de Políticas,ACTIVO,NO,,BARRIO CORBACHO MARINA JOSEFINA
608,02179996,NÚÑEZ RIBA,MARISTELA DOLORES,Coordinador Adjunto,2018-08-15,CAS,Dirección General de Ni,Oficina de Podrá,ACTIVO,NO,,NÚÑEZ RIBA MARISTELA DOLORES
609,46278608,POMBO YÁÑEZ,SILVIO BLANCA,Especialista Técnico,2023-03-20,D.L. 276,Dirección General de Lenguaje,Oficina de Efecto,ACTIVO,NO,,POMBO YÁÑEZ SILVIO BLANCA
610,88195060,GUTIÉRREZ TAMAYO,MARCELINO CAYETANO,Analista G1,2020-04-17,D.L. 276,Dirección General de Militares,Oficina de Consecuencia,ACTIVO,NO,,GUTIÉRREZ TAMAYO MARCELINO CAYETANO
611,98675127,ARANA VALLÉS,CONCEPCIÓN VALENTINA,Coordinador Adjunto,2021-07-06,CAS,Dirección General de Plan,Oficina de Acciones,ACTIVO,NO,,ARANA VALLÉS CONCEPCIÓN VALENTINA
612,05950636,COLOM CARREÑO,MARITA VIDAL,Coordinador Adjunto,2018-01-27,D.L. 276,Dirección General de Personas,Oficina de N,ACTIVO,NO,,COLOM CARREÑO MARITA VIDAL
613,45439044,GALÁN FERNÁNDEZ,EDMUNDO ARISTIDES,Especialista Técnico,2020-07-30,D.L. 276,Dirección General de I,Oficina de Medida,ACTIVO,NO,,GALÁN FERNÁNDEZ EDMUNDO ARISTIDES
614,62360630,FRANCH COLOMA,PERLITA DULCE,Asistente Administrativo,2018-12-04,D.L. 276,Dirección General de Corte,Oficina de Entrada,ACTIVO,NO,,FRANCH COLOMA PERLITA DULCE
615,24464939,BAUTISTA BONET,ROMÁN CAYETANA,Especialista Técnico,2020-04-26,CAS,Dirección General de Claro,Oficina de Sectores,ACTIVO,NO,,BAUTISTA BONET ROMÁN CAYETANA
616,96105941,LLORENTE VIZCAÍNO,ÁLVARO YÉSSICA,Asistente Administrativo,2025-01-29,CAS,Dirección General de Fuego,Oficina de Formación,ACTIVO,NO,,LLORENTE VIZCAÍNO ÁLVARO YÉSSICA
617,39385196,YÁÑEZ RIVAS,DANIEL SEVERINO,Especialista Técnico,2017-11-03,CAS,Dirección General de Salir,Oficina de Productos,ACTIVO,NO,,YÁÑEZ RIVAS DANIEL SEVERINO
618,26772388,  CABRERA CAMACHO,CHUS MELISA   ,Analista G1,2017-05-09,D.L. 728,Dirección General de Luis,Oficina de Dicen,ACTIVO,NO,,  CABRERA CAMACHO CHUS MELISA   
619,41617681,NÚÑEZ REIG,JUAN LUIS RODOLFO,Asistente Administrativo,2022-11-22,D.L. 276,Dirección General de Plan,Oficina de Elementos,ACTIVO,NO,,NÚÑEZ REIG JUAN LUIS RODOLFO
620,63538642,SUÁREZ ARCOS,FRANCISCO JOSE LEONCIO,Coordinador Adjunto,2020-05-17,CAS,Dirección General de Económico,Oficina de Elementos,ACTIVO,NO,,SUÁREZ ARCOS FRANCISCO JOSE LEONCIO
621,86825516,QUEROL ARIAS,RUY TAMARA,Especialista Técnico,2025-02-18,D.L. 728,Dirección General de Río,Oficina de Unas,ACTIVO,NO,,QUEROL ARIAS RUY TAMARA
622,47912263,  AVILÉS TALAVERA,ZORAIDA JULIO CÉSAR   ,Analista G1,2025-04-25,D.L. 276,Dirección General de Lo,Oficina de Van,ACTIVO,NO,,  AVILÉS TALAVERA ZORAIDA JULIO CÉSAR   
623,44550178,MATEO MERCADER,LISANDRO PÍA,Coordinador Adjunto,2021-04-05,CAS,Dirección General de Viaje,Oficina de Precisamente,ACTIVO,NO,,MATEO MERCADER LISANDRO PÍA
624,49394698,CABELLO GOÑI,ELOY MARCELO,Asistente Administrativo,2026-02-01,D.L. 728,Dirección General de Miembros,Oficina de Cuadro,ACTIVO,NO,,CABELLO GOÑI ELOY MARCELO
625,99765072,MONTESINOS LEON,LUISINA SIGFRIDO,Asistente Administrativo,2022-05-24,D.L. 728,Dirección General de Ella,Oficina de Será,ACTIVO,NO,,MONTESINOS LEON LUISINA SIGFRIDO
626,45504726,SALA GALVÁN,XIOMARA PALMIRA,Especialista Técnico,2020-06-01,D.L. 728,Dirección General de Serie,Oficina de Diferencia,ACTIVO,NO,,SALA GALVÁN XIOMARA PALMIRA
627,92887861,  VILLALONGA PEREIRA,OTILIA    BASILIO,Asistente Administrativo,2021-07-01,D.L. 728,Dirección General de Sea,Oficina de Donde,ACTIVO,NO,,  VILLALONGA PEREIRA OTILIA    BASILIO
628,69696026,MERINO VELÁZQUEZ,SANCHO ELPIDIO,Coordinador Adjunto,2024-02-25,CAS,Dirección General de Quiero,Oficina de Abril,ACTIVO,NO,,MERINO VELÁZQUEZ SANCHO ELPIDIO
629,97587204,ANDRES DURÁN,GUADALUPE SARA,Asistente Administrativo,2024-09-03,CAS,Dirección General de Puso,Oficina de Todos,ACTIVO,NO,,ANDRES DURÁN GUADALUPE SARA
630,57795114,IBAÑEZ APARICIO,YAGO AURELIANO,Especialista Técnico,2025-07-11,D.L. 276,Dirección General de Quedó,Oficina de Cualquier,ACTIVO,NO,,IBAÑEZ APARICIO YAGO AURELIANO
631,39428662,LLEDÓ PEDROSA,PALMIRA ABRIL,Coordinador Adjunto,2021-05-25,CAS,Dirección General de Viejo,Oficina de Sistemas,ACTIVO,NO,,LLEDÓ PEDROSA PALMIRA ABRIL
632,10746668,CASALS ANGLADA,JOSE ANTONIO RAMÓN,Coordinador Adjunto,2021-03-26,D.L. 276,Dirección General de Cara,Oficina de Frente,ACTIVO,NO,,CASALS ANGLADA JOSE ANTONIO RAMÓN
633,39680123,SÁNCHEZ OLMO,OMAR FERNANDO,Coordinador Adjunto,2024-09-20,D.L. 728,Dirección General de Nombre,Oficina de Materia,ACTIVO,NO,,SÁNCHEZ OLMO OMAR FERNANDO
634,80882506,BOTELLA LÓPEZ,AMARO ROLANDO,Asistente Administrativo,2016-11-03,CAS,Dirección General de Militares,Oficina de Plan,ACTIVO,NO,,BOTELLA LÓPEZ AMARO ROLANDO
635,92578666,GARGALLO GIRALT,FLOR JAFET,Asistente Administrativo,2023-02-14,D.L. 728,Dirección General de Muchas,Oficina de Existencia,ACTIVO,NO,,GARGALLO GIRALT FLOR JAFET
636,60012728,RECIO VILANOVA,ALEX ROSAURA,Analista G1,2024-02-24,D.L. 276,Dirección General de Llegado,Oficina de Ambiente,ACTIVO,NO,,RECIO VILANOVA ALEX ROSAURA
637,47319710,AGULLO    SÁEZ,  VIVIANA ELIGIO  ,Asistente Administrativo,2022-10-26,D.L. 728,Dirección General de Alta,Oficina de Informe,ACTIVO,NO,,AGULLO    SÁEZ   VIVIANA ELIGIO  
638,85828118,AGUIRRE GOICOECHEA,JOSÉ ANTONIO EMA,Analista G1,2024-05-24,CAS,Dirección General de Primero,Oficina de Marcha,ACTIVO,NO,,AGUIRRE GOICOECHEA JOSÉ ANTONIO EMA
639,90084777,LLOPIS RODA,TERESA RENATO,Asistente Administrativo,2024-11-10,D.L. 728,Dirección General de Aquellos,Oficina de Cinco,ACTIVO,NO,,LLOPIS RODA TERESA RENATO
640,68865240,GIBERT SOLER,MARCIANO INÉS,Especialista Técnico,2021-07-20,CAS,Dirección General de Buenos,Oficina de Seis,ACTIVO,NO,,GIBERT SOLER MARCIANO INÉS
641,19163536,CALATAYUD AGUILERA,ARIADNA GLORIA,Asistente Administrativo,2026-01-04,CAS,Dirección General de Oro,Oficina de Campo,ACTIVO,NO,,CALATAYUD AGUILERA ARIADNA GLORIA
642,16942308,LUMBRERAS MARTÍN,ISAURA CÁNDIDO,Analista G1,2021-02-28,CAS,Dirección General de Internacional,Oficina de Derecho,ACTIVO,NO,,LUMBRERAS MARTÍN ISAURA CÁNDIDO
643,86592296,MORCILLO LLUCH,JUAN CARLOS GABRIELA,Coordinador Adjunto,2023-06-16,D.L. 728,Dirección General de Posibilidades,Oficina de Existencia,ACTIVO,NO,,MORCILLO LLUCH JUAN CARLOS GABRIELA
644,51385848,MARTÍN FABRA,EUTIMIO ASUNCIÓN,Analista G1,2024-01-01,D.L. 276,Dirección General de Material,Oficina de Puede,ACTIVO,NO,,MARTÍN FABRA EUTIMIO ASUNCIÓN
645,20594122,QUINTERO MONTENEGRO,ISA ENRIQUE,Asistente Administrativo,2023-07-23,D.L. 728,Dirección General de Boca,Oficina de Cabo,ACTIVO,NO,,QUINTERO MONTENEGRO ISA ENRIQUE
646,49930791,MARQUÉS JOVER,VICTORIA SILVIO,Asistente Administrativo,2020-05-22,CAS,Dirección General de Mitad,Oficina de Todo,ACTIVO,NO,,MARQUÉS JOVER VICTORIA SILVIO
647,77030478,FALCÓ NOVOA,LUCILA LEYRE,Especialista Técnico,2018-07-27,D.L. 276,Dirección General de Hacen,Oficina de Tomar,ACTIVO,NO,,FALCÓ NOVOA LUCILA LEYRE
648,49251189,TAMARIT PALMER,ANUNCIACIÓN MARCELO,Asistente Administrativo,2024-10-19,D.L. 728,Dirección General de Podrá,Oficina de Pie,ACTIVO,NO,,TAMARIT PALMER ANUNCIACIÓN MARCELO
649,87182567,ESCRIVÁ MARIN,CLETO ADRIANA,Coordinador Adjunto,2017-08-16,CAS,Dirección General de Nombre,Oficina de Miedo,ACTIVO,NO,,ESCRIVÁ MARIN CLETO ADRIANA
650,15226816,ESPAÑA NARVÁEZ,FÁTIMA CHUY,Analista G1,2018-07-26,D.L. 276,Dirección General de Desarrollo,Oficina de Serán,ACTIVO,NO,,ESPAÑA NARVÁEZ FÁTIMA CHUY
651,24970947,MELERO RIVERO,MODESTA SUSANA,Asistente Administrativo,2019-08-29,D.L. 276,Dirección General de Público,Oficina de Cantidad,ACTIVO,NO,,MELERO RIVERO MODESTA SUSANA
652,51940567,MARISCAL SILVA,RENATA DESIDERIO,Analista G1,2021-01-18,D.L. 728,Dirección General de Voluntad,Oficina de Muestra,ACTIVO,NO,,MARISCAL SILVA RENATA DESIDERIO
653,34935502,BELDA SUREDA   ,TAMARA GUIOMAR   ,Asistente Administrativo,2021-05-08,CAS,Dirección General de Dicen,Oficina de Derecha,ACTIVO,NO,,BELDA SUREDA    TAMARA GUIOMAR   
